"path","status","source_type","notes"
"业主提问/2026-07-10_人工贵还是材料贵.md","待处理","用户问题",""
"外部知识/_来源索引.md","待处理","外部研究素材",""
"外部知识/_pdf提取文本/200个成长思维.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/208个管理思维.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/318个管理思维.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/带团队的底层逻辑1.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/带团队的底层逻辑2.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/沟通高手上.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/沟通高手中.txt","待处理","外部研究素材",""
"外部知识/_pdf提取文本/沟通朗读练习稿.txt","待处理","外部研究素材",""
"外部知识/思想模型-成长/_200个成长思维_全量索引.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260708-001_刻意练习.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260708-002_学习金字塔与721法则.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260708-003_第一性原理与杠杆思维.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260708-004_达克效应与空雨伞模型.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260708-005_GROW模型与福格行为模型.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260709-013_NLP逻辑层级与乔哈里视窗.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260709-014_ORID与设计思维.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260709-015_101010旁观与多元思维.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260709-016_情绪ABC与系统思维.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260709-017_MVP思维与四象限矩阵.md","待处理","外部研究素材",""
"外部知识/思想模型-成长/EXT-20260709-018_心流与批判性思维.md","待处理","外部研究素材",""
"外部知识/思想模型-沟通/EXT-20260707-001_3F倾听法.md","待处理","外部研究素材",""
"外部知识/思想模型-沟通/EXT-20260707-002_倒置沟通漏斗.md","待处理","外部研究素材",""
"外部知识/思想模型-沟通/EXT-20260707-003_5W1H与5Why双模型.md","待处理","外部研究素材",""
